Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UEP0J330MDD,EOL,6.3,33.00,5.0,11.0,-55,105,1000,0.44,0.24,6,46,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J470MDD,EOL,6.3,47.00,5.0,11.0,-55,105,1000,0.44,0.24,9,54,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J101MED,EOL,6.3,100.00,6.3,11.0,-55,105,1000,0.59,0.24,19,90,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J221MPD,MP,6.3,220.00,8.0,11.5,-55,105,1000,1.19,0.24,42,150,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J331MPD,MP,6.3,330.00,8.0,11.5,-55,105,1000,1.19,0.24,62,185,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J471MPD,MP,6.3,470.00,10.0,12.5,-55,105,1000,1.49,0.24,89,260,,,,,,,,2000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J102MPD,MP,6.3,1000.00,10.0,20.0,-55,105,1000,2.34,0.24,189,460,,,,,,,,1400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J222MHD,MP,6.3,2200.00,12.5,25.0,-55,105,1000,4.56,0.26,416,820,,,,,,,,800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J332MHD,MP,6.3,3300.00,16.0,25.0,-55,105,1000,8.20,0.28,624,1110,,,,,,,,400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J472MHD,MP,6.3,4700.00,16.0,30.5,-55,105,1000,9.60,0.30,888,1430,,,,,,,,300,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP0J682MHD,MP,6.3,6800.00,18.0,35.5,-55,105,1000,14.20,0.34,1285,1830,,,,,,,,250,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A220MDD,EOL,10.0,22.00,5.0,11.0,-55,105,1000,0.44,0.24,7,42,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A330MDD,EOL,10.0,33.00,5.0,11.0,-55,105,1000,0.44,0.24,10,45,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A470MDD,EOL,10.0,47.00,5.0,11.0,-55,105,1000,0.44,0.24,14,54,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A101MED,EOL,10.0,100.00,6.3,11.0,-55,105,1000,0.59,0.24,30,90,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A221MPD,MP,10.0,220.00,8.0,11.5,-55,105,1000,1.19,0.24,66,150,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A331MPD,MP,10.0,330.00,10.0,16.0,-55,105,1000,1.77,0.24,99,240,,,,,,,,1800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A471MPD,MP,10.0,470.00,10.0,16.0,-55,105,1000,1.77,0.24,141,290,,,,,,,,1800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A102MHD,MP,10.0,1000.00,12.5,20.0,-55,105,1000,3.43,0.24,300,510,,,,,,,,1000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A222MHD,MP,10.0,2200.00,16.0,25.0,-55,105,1000,8.20,0.26,660,910,,,,,,,,400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A332MHD,MP,10.0,3300.00,16.0,30.5,-55,105,1000,9.60,0.28,990,1200,,,,,,,,300,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1A472MHD,MP,10.0,4700.00,18.0,35.5,-55,105,1000,14.20,0.30,1410,1520,,,,,,,,250,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C100MDD,EOL,16.0,10.00,5.0,11.0,-55,105,1000,0.44,0.20,5,30,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C220MDD,EOL,16.0,22.00,5.0,11.0,-55,105,1000,0.44,0.20,11,40,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C330MDD,EOL,16.0,33.00,5.0,11.0,-55,105,1000,0.44,0.20,16,49,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C470MED,EOL,16.0,47.00,6.3,11.0,-55,105,1000,0.59,0.20,23,67,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C101MPD,MP,16.0,100.00,8.0,11.5,-55,105,1000,1.19,0.20,48,110,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C221MPD,MP,16.0,220.00,10.0,12.5,-55,105,1000,1.49,0.20,106,195,,,,,,,,2000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C331MPD,MP,16.0,330.00,10.0,16.0,-55,105,1000,1.77,0.20,158,265,,,,,,,,1800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C471MPD,MP,16.0,470.00,10.0,20.0,-55,105,1000,2.34,0.20,226,345,,,,,,,,1400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C102MHD,MP,16.0,1000.00,12.5,25.0,-55,105,1000,4.56,0.20,480,605,,,,,,,,800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C222MHD,MP,16.0,2200.00,16.0,30.5,-55,105,1000,9.60,0.22,1056,1070,,,,,,,,300,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1C332MHD,MP,16.0,3300.00,18.0,35.5,-55,105,1000,14.20,0.24,1584,1400,,,,,,,,250,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E100MDD,EOL,25.0,10.00,5.0,11.0,-55,105,1000,0.44,0.20,8,34,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E220MED,EOL,25.0,22.00,6.3,11.0,-55,105,1000,0.59,0.20,17,55,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E330MED,EOL,25.0,33.00,6.3,11.0,-55,105,1000,0.59,0.20,25,56,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E470MED,EOL,25.0,47.00,6.3,11.0,-55,105,1000,0.59,0.20,35,67,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E101MPD,MP,25.0,100.00,8.0,11.5,-55,105,1000,1.19,0.20,75,110,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E221MPD,MP,25.0,220.00,10.0,16.0,-55,105,1000,1.77,0.20,165,215,,,,,,,,1800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E331MHD,MP,25.0,330.00,12.5,20.0,-55,105,1000,3.43,0.20,248,320,,,,,,,,1000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E471MHD,MP,25.0,470.00,12.5,20.0,-55,105,1000,3.43,0.20,353,380,,,,,,,,1000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E102MHD,MP,25.0,1000.00,16.0,25.0,-55,105,1000,8.20,0.20,750,670,,,,,,,,400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1E222MHD,MP,25.0,2200.00,18.0,35.5,-55,105,1000,14.20,0.22,1650,1140,,,,,,,,250,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V4R7MDD,EOL,35.0,4.70,5.0,11.0,-55,105,1000,0.44,0.16,5,25,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V100MDD,EOL,35.0,10.00,5.0,11.0,-55,105,1000,0.44,0.16,11,30,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V220MED,EOL,35.0,22.00,6.3,11.0,-55,105,1000,0.59,0.16,23,51,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V330MPD,MP,35.0,33.00,8.0,11.5,-55,105,1000,1.19,0.16,35,72,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V470MPD,MP,35.0,47.00,8.0,11.5,-55,105,1000,1.19,0.16,49,86,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V101MPD,MP,35.0,100.00,10.0,16.0,-55,105,1000,1.77,0.16,105,160,,,,,,,,1800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V221MHD,MP,35.0,220.00,12.5,20.0,-55,105,1000,3.43,0.16,231,290,,,,,,,,1000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V331MHD,MP,35.0,330.00,12.5,20.0,-55,105,1000,3.43,0.16,347,350,,,,,,,,1000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V471MHD,MP,35.0,470.00,12.5,25.0,-55,105,1000,4.56,0.16,494,465,,,,,,,,800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1V102MHD,MP,35.0,1000.00,16.0,30.5,-55,105,1000,9.60,0.16,1050,805,,,,,,,,300,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H010MDD,EOL,50.0,1.00,5.0,11.0,-55,105,1000,0.44,0.14,3,12,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H2R2MDD,EOL,50.0,2.20,5.0,11.0,-55,105,1000,0.44,0.14,3,18,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H3R3MDD,EOL,50.0,3.30,5.0,11.0,-55,105,1000,0.44,0.14,5,22,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H4R7MDD,EOL,50.0,4.70,5.0,11.0,-55,105,1000,0.44,0.14,7,22,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H100MED,EOL,50.0,10.00,6.3,11.0,-55,105,1000,0.59,0.14,15,37,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H220MPD,MP,50.0,22.00,8.0,11.5,-55,105,1000,1.19,0.14,33,63,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H330MPD,MP,50.0,33.00,8.0,11.5,-55,105,1000,1.19,0.14,50,77,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H470MPD,MP,50.0,47.00,10.0,12.5,-55,105,1000,1.49,0.14,71,105,,,,,,,,2000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H101MPD,MP,50.0,100.00,10.0,20.0,-55,105,1000,2.34,0.14,150,190,,,,,,,,1400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H221MHD,MP,50.0,220.00,12.5,25.0,-55,105,1000,4.56,0.14,330,340,,,,,,,,800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H331MHD,MP,50.0,330.00,16.0,25.0,-55,105,1000,8.20,0.14,495,460,,,,,,,,400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1H471MHD,MP,50.0,470.00,16.0,30.5,-55,105,1000,9.60,0.14,705,590,,,,,,,,300,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J3R3MDD,EOL,63.0,3.30,5.0,11.0,-55,105,1000,0.44,0.12,6,20,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J4R7MED,EOL,63.0,4.70,6.3,11.0,-55,105,1000,0.59,0.12,9,31,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J100MED,EOL,63.0,10.00,6.3,11.0,-55,105,1000,0.59,0.12,19,40,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J220MPD,MP,63.0,22.00,8.0,11.5,-55,105,1000,1.19,0.12,42,68,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J330MPD,MP,63.0,33.00,10.0,12.5,-55,105,1000,1.49,0.12,62,98,,,,,,,,2000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J470MPD,MP,63.0,47.00,10.0,16.0,-55,105,1000,1.77,0.12,89,130,,,,,,,,1800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J101MHD,MP,63.0,100.00,12.5,20.0,-55,105,1000,3.43,0.12,189,225,,,,,,,,1000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J221MHD,MP,63.0,220.00,16.0,25.0,-55,105,1000,8.20,0.12,416,405,,,,,,,,400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J331MHD,MP,63.0,330.00,16.0,30.5,-55,105,1000,9.60,0.12,624,535,,,,,,,,300,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP1J471MHD,MP,63.0,470.00,18.0,35.5,-55,105,1000,14.20,0.12,888,680,,,,,,,,250,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A010MDD,EOL,100.0,1.00,5.0,11.0,-55,105,1000,0.44,0.10,3,15,,,,,,,,6000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A2R2MED,EOL,100.0,2.20,6.3,11.0,-55,105,1000,0.59,0.10,7,20,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A3R3MED,EOL,100.0,3.30,6.3,11.0,-55,105,1000,0.59,0.10,10,25,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A4R7MED,EOL,100.0,4.70,6.3,11.0,-55,105,1000,0.59,0.10,14,30,,,,,,,,4000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A100MPD,MP,100.0,10.00,8.0,11.5,-55,105,1000,1.19,0.10,30,50,,,,,,,,3000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A220MPD,MP,100.0,22.00,10.0,16.0,-55,105,1000,1.77,0.10,66,97,,,,,,,,1800,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A330MHD,MP,100.0,33.00,12.5,20.0,-55,105,1000,3.43,0.10,99,140,,,,,,,,1000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A470MHD,MP,100.0,47.00,12.5,20.0,-55,105,1000,3.43,0.10,141,170,,,,,,,,1000,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A101MHD,MP,100.0,100.00,16.0,25.0,-55,105,1000,8.20,0.10,300,300,,,,,,,,400,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
UEP2A221MHD,MP,100.0,220.00,18.0,35.5,-55,105,1000,14.20,0.10,660,510,,,,,,,,250,Radial Lead,Bi-Polar Wide Temp. Range,Bi-Polar,Normal
