Rated voltage (V),Capacitance (±20 %) (μF),Case size (mm) øD,Case size (mm) L,Ripple current*1 (mA rms),tan δ*2,Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽i,Part No.,Straight leads,Taping
6.3,100.0,6.3,11.2,130,0.3,0.5,2.5,5.0,2.5,ECA0JEN101( ),200,2000
6.3,330.0,8.0,11.5,250,0.3,0.6,3.5,5.0,—,ECA0JEN331( ),200,1000
10.0,47.0,5.0,11.0,90,0.24,0.5,2.0,5.0,2.5,ECA1AEN470( ),200,2000
10.0,10.0,5.0,11.0,40,0.2,0.5,2.0,5.0,2.5,ECA1CEN100( ),200,2000
10.0,22.0,5.0,11.0,60,0.2,0.5,2.0,5.0,2.5,ECA1CEN220( ),200,2000
10.0,33.0,5.0,11.0,80,0.2,0.5,2.0,5.0,2.5,ECA1CEN330( ),200,2000
10.0,47.0,6.3,11.2,100,0.2,0.5,2.5,5.0,2.5,ECA1CEN470( ),200,2000
16.0,10.0,5.0,11.0,45,0.15,0.5,2.0,5.0,2.5,ECA1EEN100( ),200,2000
16.0,22.0,6.3,11.2,60,0.15,0.5,2.5,5.0,2.5,ECA1EEN220( ),200,2000
16.0,33.0,6.3,11.2,90,0.15,0.5,2.5,5.0,2.5,ECA1EEN330( ),200,2000
16.0,47.0,6.3,11.2,110,0.15,0.5,2.5,5.0,2.5,ECA1EEN470( ),200,2000
16.0,100.0,8.0,11.5,180,0.15,0.6,3.5,5.0,—,ECA1EEN101( ),200,1000
25.0,33.0,8.0,11.5,100,0.15,0.6,3.5,5.0,—,ECA1VEN330( ),200,1000
25.0,100.0,10.0,16.0,230,0.15,0.6,5.0,5.0,—,ECA1VEN101( ),200,500
35.0,2.2,5.0,11.0,18,0.15,0.5,2.0,5.0,2.5,ECA1HEN2R2( ),200,2000
35.0,3.3,5.0,11.0,25,0.15,0.5,2.0,5.0,2.5,ECA1HEN3R3( ),200,2000
35.0,4.7,5.0,11.0,30,0.15,0.5,2.0,5.0,2.5,ECA1HEN4R7( ),200,2000
35.0,10.0,6.3,11.2,50,0.15,0.5,2.5,5.0,2.5,ECA1HEN100( ),200,2000
50.0,22.0,8.0,11.5,90,0.15,0.6,3.5,5.0,—,ECA1HEN220( ),200,1000
50.0,33.0,8.0,11.5,110,0.15,0.6,3.5,5.0,—,ECA1HEN330( ),200,1000
50.0,47.0,10.0,12.5,140,0.15,0.6,5.0,5.0,—,ECA1HEN470( ),200,500
50.0,100.0,10.0,20.0,250,0.15,0.6,5.0,5.0,—,ECA1HEN101( ),200,500
